"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120002664","천안새샘중학교","03","공립","N","","10","10","10","1","0","31(1)","918(8)","29.6"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002670","탕정중학교","03","공립","N","","10","18","18","1","0","47(1)","1307(7)","27.8"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002673","설화중학교","03","공립","N","","12","11","11","1","0","35(1)","993(7)","28.4"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120002674","천안가온중학교","03","공립","N","","10","10","10","3","0","33(3)","927(18)","28.1"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002714","환서중학교","03","공립","N","","9","9","8","1","0","27(1)","831(6)","30.8"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120002733","내포중학교","03","공립","N","","8","9","10","1","0","28(1)","777(5)","27.8"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002885","아산테크노중학교","03","공립","N","","9","7","6","2","0","24(2)","578(9)","24.1"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002886","모산중학교","03","공립","N","","15","14","13","1","0","43(1)","1241(7)","28.9"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002891","천안불무중학교","03","공립","N","","11","10","10","2","0","33(2)","978(13)","29.6"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002937","한들물빛중학교","03","공립","N","","9","8","10","1","0","28(1)","809(5)","28.9"
"충청남도교육청","충청남도당진교육지원청","충청남도 당진시","S120002969","수청중학교","03","공립","N","","10","10","3","1","0","24(1)","554(4)","23.1"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 서북구","S120002975","천안가람중학교","03","공립","N","","13","6","3","1","0","23(1)","653(6)","28.4"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120002983","홍북중학교","03","공립","N","","10","3","2","1","0","16(1)","380(5)","23.8"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002984","모종중학교","03","공립","N","","11","4","3","1","0","19(1)","482(6)","25.4"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002992","아산세교중학교","03","공립","N","","7","3","2","1","0","13(1)","244(2)","18.8"
"충청남도교육청","충청남도아산교육지원청","충청남도 아산시","S120002995","아산갈산중학교","03","공립","N","","10","1","1","1","0","13(1)","329(1)","25.3"
"충청남도교육청","충청남도천안교육지원청","충청남도 천안시 동남구","S120002914","천안중학교부설방송통신중학교","25","공립","N","","2","2","2","0","0","6(0)","133(0)","22.2"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120002926","홍성여자중학교부설방송통신중학교","25","공립","N","","2","2","2","0","0","6(0)","115(0)","19.2"
